DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
PEHM7648STCR5FAGQHE2JSTDSDQ49FNF1NH2JRNHN5UV42L4J1BG,ECPI8MR0RKGHONHJSB3IEDSJM5SOFPCICP5LC708M5S3L8TT3LHG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Promotion
9QFGHFH3ABOIIUQ9CKPNQC4IJB2VOLS13H2TL38B60AVGN7LA58G,ESS5T252ECC33M4IRO2KF8AR03LP184S4DMPRCLV1SKII74FN730,1,14.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
9QFGHFH3ABOIIUQ9CKPNQC4IJB2VOLS13H2TL38B60AVGN7LA58G,ESS5T252ECC33M4IRO2KF8AR03LP184S4DMPRCLV1SKII74FN730,1,1.24,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
3SFGI8J5Q7E91ILDVV88N5LR411C9LF249GQ6MD8382JFT6T8B90,1PH100CRMTALEC4SIVOSMMS7AI176G9G857CNT87Q6VAJRHSJ58G,1,12.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
3SFGI8J5Q7E91ILDVV88N5LR411C9LF249GQ6MD8382JFT6T8B90,1PH100CRMTALEC4SIVOSMMS7AI176G9G857CNT87Q6VAJRHSJ58G,1,1.07,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
6I3BCFIR763UM0CNNIK6P7SVBVTRR9NIGFCL454UUIFKOK9FHVT0,9DO8O0KLM7E32U4RJT7V51VUJ5CBDGI1CG3GEHQ82AM6IVMHS440,1,1.07,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
6I3BCFIR763UM0CNNIK6P7SVBVTRR9NIGFCL454UUIFKOK9FHVT0,9DO8O0KLM7E32U4RJT7V51VUJ5CBDGI1CG3GEHQ82AM6IVMHS440,1,12.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
SLG75755E21UDFGGA8LNO0URPUGE9427B0BKJ1SC6KVQPAOQCJA0,AP1F8F3QN208I46DRC0HO588SAVDD2J2GOA76CK2S8MM0QVMB3DG,1,12.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
SLG75755E21UDFGGA8LNO0URPUGE9427B0BKJ1SC6KVQPAOQCJA0,AP1F8F3QN208I46DRC0HO588SAVDD2J2GOA76CK2S8MM0QVMB3DG,1,1.07,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
62KA8QUABIQ17E09SASOQ196V6ETTQCO9CSUIB0LJPQ16QPI4VHG,OK3QELGLTRBHDL4P21FB3100JN8CHMHGQ81ODR4N2HIN08J55HQG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
62KA8QUABIQ17E09SASOQ196V6ETTQCO9CSUIB0LJPQ16QPI4VHG,OK3QELGLTRBHDL4P21FB3100JN8CHMHGQ81ODR4N2HIN08J55HQG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
9AC8E726L162KROHA6F4B30SS8AUPBGBTGVL1RFKQ17COR1A1Q3G,DC86CR2BPQN8OKM6NKB08ICST9TP3HGR3TSNCP65UQHQ0A8VDER0,1,8.53,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
9AC8E726L162KROHA6F4B30SS8AUPBGBTGVL1RFKQ17COR1A1Q3G,DC86CR2BPQN8OKM6NKB08ICST9TP3HGR3TSNCP65UQHQ0A8VDER0,1,103.41,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
HP2A6MA1VFO19OT8LJ0O6JH6J8CRVUG35B324IC4BMII445S9780,KBL3USR3JEVV7BCD97JCP0NPH71Q7U15JJERNBCF0O471B33ACF0,1,97.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
HP2A6MA1VFO19OT8LJ0O6JH6J8CRVUG35B324IC4BMII445S9780,KBL3USR3JEVV7BCD97JCP0NPH71Q7U15JJERNBCF0O471B33ACF0,1,8.08,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
OSBHRM1K8JQ70372C7PUQ9I1HQ7FCMA4O5NKDTQ018HVIVRTVPQG,QFSFPEMG6LHSOSL0U29F6VMJL1N066MPS3FUTV1UI2K6QBCVPL5G,1,1.9,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
